probes: 190
buildReflectionProbes: True
level geometry probe usage: BlendProbes
sector reflection probe 140: enabled=True, mode=Custom, texture=sector reflection probe 140 cubemap, importance=1, size=(11.88, 5.28, 40.68), pos=(124.20, 6.75, 70.20)
sector reflection probe 185: enabled=True, mode=Custom, texture=sector reflection probe 185 cubemap, importance=1, size=(26.28, 5.28, 11.88), pos=(88.20, 6.75, 189.00)
sector reflection probe 73: enabled=True, mode=Custom, texture=sector reflection probe 73 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(57.60, -2.55, 46.80)
sector reflection probe 172: enabled=True, mode=Custom, texture=sector reflection probe 172 cubemap, importance=1, size=(19.08, 5.28, 33.48), pos=(124.20, 6.75, 109.80)
sector reflection probe 179: enabled=True, mode=Custom, texture=sector reflection probe 179 cubemap, importance=1, size=(8.28, 5.28, 4.68), pos=(133.20, 6.75, 149.40)
sector reflection probe 55: enabled=True, mode=Custom, texture=sector reflection probe 55 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(9.00, 2.10, 153.00)
sector reflection probe 176: enabled=True, mode=Custom, texture=sector reflection probe 176 cubemap, importance=1, size=(11.88, 5.28, 22.68), pos=(37.80, 6.75, 140.40)
sector reflection probe 53: enabled=True, mode=Custom, texture=sector reflection probe 53 cubemap, importance=1, size=(8.28, 5.28, 4.68), pos=(133.20, 2.10, 149.40)
sector reflection probe 186: enabled=True, mode=Custom, texture=sector reflection probe 186 cubemap, importance=1, size=(40.68, 5.28, 26.28), pos=(124.20, 6.75, 189.00)
sector reflection probe 44: enabled=True, mode=Custom, texture=sector reflection probe 44 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(219.60, 2.10, 109.80)
sector reflection probe 51: enabled=True, mode=Custom, texture=sector reflection probe 51 cubemap, importance=1, size=(11.88, 5.28, 44.28), pos=(124.20, 2.10, 151.20)
sector reflection probe 96: enabled=True, mode=Custom, texture=sector reflection probe 96 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(214.20, -2.55, 70.20)
sector reflection probe 66: enabled=True, mode=Custom, texture=sector reflection probe 66 cubemap, importance=1, size=(15.48, 5.28, 11.88), pos=(108.00, -2.55, 23.40)
sector reflection probe 29: enabled=True, mode=Custom, texture=sector reflection probe 29 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(185.40, 2.10, 70.20)
sector reflection probe 41: enabled=True, mode=Custom, texture=sector reflection probe 41 cubemap, importance=1, size=(4.68, 5.28, 37.08), pos=(214.20, 2.10, 108.00)
sector reflection probe 47: enabled=True, mode=Custom, texture=sector reflection probe 47 cubemap, importance=1, size=(19.08, 5.28, 26.28), pos=(106.20, 2.10, 109.80)
sector reflection probe 106: enabled=True, mode=Custom, texture=sector reflection probe 106 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(208.80, -2.55, 109.80)
sector reflection probe 165: enabled=True, mode=Custom, texture=sector reflection probe 165 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(185.40, 6.75, 109.80)
sector reflection probe 10: enabled=True, mode=Custom, texture=sector reflection probe 10 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(57.60, 2.10, 46.80)
sector reflection probe 43: enabled=True, mode=Custom, texture=sector reflection probe 43 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(208.80, 2.10, 109.80)
sector reflection probe 46: enabled=True, mode=Custom, texture=sector reflection probe 46 cubemap, importance=1, size=(19.08, 5.28, 33.48), pos=(124.20, 2.10, 109.80)
sector reflection probe 182: enabled=True, mode=Custom, texture=sector reflection probe 182 cubemap, importance=1, size=(33.48, 5.28, 26.28), pos=(37.80, 6.75, 167.40)
sector reflection probe 09: enabled=True, mode=Custom, texture=sector reflection probe 09 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(46.80, 2.10, 46.80)
sector reflection probe 17: enabled=True, mode=Custom, texture=sector reflection probe 17 cubemap, importance=1, size=(11.88, 5.28, 26.28), pos=(37.80, 2.10, 77.40)
sector reflection probe 112: enabled=True, mode=Custom, texture=sector reflection probe 112 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(153.00, -2.55, 109.80)
sector reflection probe 20: enabled=True, mode=Custom, texture=sector reflection probe 20 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(16.20, 2.10, 109.80)
sector reflection probe 35: enabled=True, mode=Custom, texture=sector reflection probe 35 cubemap, importance=1, size=(8.28, 5.28, 40.68), pos=(172.80, 2.10, 95.40)
sector reflection probe 102: enabled=True, mode=Custom, texture=sector reflection probe 102 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(185.40, -2.55, 109.80)
sector reflection probe 45: enabled=True, mode=Custom, texture=sector reflection probe 45 cubemap, importance=1, size=(33.48, 5.28, 33.48), pos=(37.80, 2.10, 109.80)
sector reflection probe 59: enabled=True, mode=Custom, texture=sector reflection probe 59 cubemap, importance=1, size=(26.28, 5.28, 11.88), pos=(88.20, 2.10, 189.00)
sector reflection probe 189: enabled=True, mode=Custom, texture=sector reflection probe 189 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(153.00, 6.75, 189.00)
sector reflection probe 97: enabled=True, mode=Custom, texture=sector reflection probe 97 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(174.60, -2.55, 70.20)
sector reflection probe 89: enabled=True, mode=Custom, texture=sector reflection probe 89 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(196.20, -2.55, 70.20)
sector reflection probe 48: enabled=True, mode=Custom, texture=sector reflection probe 48 cubemap, importance=1, size=(19.08, 5.28, 26.28), pos=(142.20, 2.10, 109.80)
sector reflection probe 143: enabled=True, mode=Custom, texture=sector reflection probe 143 cubemap, importance=1, size=(11.88, 5.28, 26.28), pos=(37.80, 6.75, 77.40)
sector reflection probe 74: enabled=True, mode=Custom, texture=sector reflection probe 74 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(37.80, -2.55, 45.00)
sector reflection probe 127: enabled=True, mode=Custom, texture=sector reflection probe 127 cubemap, importance=1, size=(47.88, 5.28, 11.88), pos=(124.20, 6.75, 9.00)
sector reflection probe 113: enabled=True, mode=Custom, texture=sector reflection probe 113 cubemap, importance=1, size=(11.88, 5.28, 22.68), pos=(37.80, -2.55, 140.40)
sector reflection probe 56: enabled=True, mode=Custom, texture=sector reflection probe 56 cubemap, importance=1, size=(33.48, 5.28, 26.28), pos=(37.80, 2.10, 167.40)
sector reflection probe 120: enabled=True, mode=Custom, texture=sector reflection probe 120 cubemap, importance=1, size=(26.28, 5.28, 11.88), pos=(70.20, -2.55, 167.40)
sector reflection probe 173: enabled=True, mode=Custom, texture=sector reflection probe 173 cubemap, importance=1, size=(19.08, 5.28, 26.28), pos=(106.20, 6.75, 109.80)
sector reflection probe 115: enabled=True, mode=Custom, texture=sector reflection probe 115 cubemap, importance=1, size=(8.28, 5.28, 4.68), pos=(115.20, -2.55, 149.40)
sector reflection probe 36: enabled=True, mode=Custom, texture=sector reflection probe 36 cubemap, importance=1, size=(4.68, 5.28, 15.48), pos=(167.40, 2.10, 108.00)
sector reflection probe 166: enabled=True, mode=Custom, texture=sector reflection probe 166 cubemap, importance=1, size=(4.68, 5.28, 37.08), pos=(203.40, 6.75, 108.00)
sector reflection probe 156: enabled=True, mode=Custom, texture=sector reflection probe 156 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(192.60, 6.75, 70.20)
sector reflection probe 154: enabled=True, mode=Custom, texture=sector reflection probe 154 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(210.60, 6.75, 70.20)
sector reflection probe 93: enabled=True, mode=Custom, texture=sector reflection probe 93 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(192.60, -2.55, 70.20)
sector reflection probe 155: enabled=True, mode=Custom, texture=sector reflection probe 155 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(185.40, 6.75, 70.20)
sector reflection probe 80: enabled=True, mode=Custom, texture=sector reflection probe 80 cubemap, importance=1, size=(11.88, 5.28, 26.28), pos=(37.80, -2.55, 77.40)
sector reflection probe 103: enabled=True, mode=Custom, texture=sector reflection probe 103 cubemap, importance=1, size=(4.68, 5.28, 37.08), pos=(203.40, -2.55, 108.00)
sector reflection probe 126: enabled=True, mode=Custom, texture=sector reflection probe 126 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(153.00, -2.55, 189.00)
sector reflection probe 174: enabled=True, mode=Custom, texture=sector reflection probe 174 cubemap, importance=1, size=(19.08, 5.28, 26.28), pos=(142.20, 6.75, 109.80)
sector reflection probe 141: enabled=True, mode=Custom, texture=sector reflection probe 141 cubemap, importance=1, size=(58.68, 5.28, 11.88), pos=(32.40, 6.75, 59.40)
sector reflection probe 178: enabled=True, mode=Custom, texture=sector reflection probe 178 cubemap, importance=1, size=(8.28, 5.28, 4.68), pos=(115.20, 6.75, 149.40)
sector reflection probe 139: enabled=True, mode=Custom, texture=sector reflection probe 139 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(70.20, 6.75, 48.60)
sector reflection probe 110: enabled=True, mode=Custom, texture=sector reflection probe 110 cubemap, importance=1, size=(19.08, 5.28, 26.28), pos=(106.20, -2.55, 109.80)
sector reflection probe 105: enabled=True, mode=Custom, texture=sector reflection probe 105 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(198.00, -2.55, 109.80)
sector reflection probe 58: enabled=True, mode=Custom, texture=sector reflection probe 58 cubemap, importance=1, size=(11.88, 5.28, 22.68), pos=(70.20, 2.10, 183.60)
sector reflection probe 88: enabled=True, mode=Custom, texture=sector reflection probe 88 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(189.00, -2.55, 70.20)
sector reflection probe 101: enabled=True, mode=Custom, texture=sector reflection probe 101 cubemap, importance=1, size=(8.28, 5.28, 11.88), pos=(162.00, -2.55, 109.80)
sector reflection probe 13: enabled=True, mode=Custom, texture=sector reflection probe 13 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(70.20, 2.10, 48.60)
sector reflection probe 104: enabled=True, mode=Custom, texture=sector reflection probe 104 cubemap, importance=1, size=(4.68, 5.28, 37.08), pos=(214.20, -2.55, 108.00)
sector reflection probe 95: enabled=True, mode=Custom, texture=sector reflection probe 95 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(207.00, -2.55, 70.20)
sector reflection probe 16: enabled=True, mode=Custom, texture=sector reflection probe 16 cubemap, importance=1, size=(11.88, 5.28, 80.28), pos=(9.00, 2.10, 104.40)
sector reflection probe 160: enabled=True, mode=Custom, texture=sector reflection probe 160 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(174.60, 6.75, 70.20)
sector reflection probe 175: enabled=True, mode=Custom, texture=sector reflection probe 175 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(153.00, 6.75, 109.80)
sector reflection probe 184: enabled=True, mode=Custom, texture=sector reflection probe 184 cubemap, importance=1, size=(11.88, 5.28, 22.68), pos=(70.20, 6.75, 183.60)
sector reflection probe 125: enabled=True, mode=Custom, texture=sector reflection probe 125 cubemap, importance=1, size=(15.48, 5.28, 8.28), pos=(28.80, -2.55, 194.40)
sector reflection probe 50: enabled=True, mode=Custom, texture=sector reflection probe 50 cubemap, importance=1, size=(11.88, 5.28, 22.68), pos=(37.80, 2.10, 140.40)
sector reflection probe 61: enabled=True, mode=Custom, texture=sector reflection probe 61 cubemap, importance=1, size=(19.08, 5.28, 8.28), pos=(30.60, 2.10, 187.20)
sector reflection probe 57: enabled=True, mode=Custom, texture=sector reflection probe 57 cubemap, importance=1, size=(26.28, 5.28, 11.88), pos=(70.20, 2.10, 167.40)
sector reflection probe 167: enabled=True, mode=Custom, texture=sector reflection probe 167 cubemap, importance=1, size=(4.68, 5.28, 37.08), pos=(214.20, 6.75, 108.00)
sector reflection probe 63: enabled=True, mode=Custom, texture=sector reflection probe 63 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(153.00, 2.10, 189.00)
sector reflection probe 21: enabled=True, mode=Custom, texture=sector reflection probe 21 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(23.40, 2.10, 135.00)
sector reflection probe 122: enabled=True, mode=Custom, texture=sector reflection probe 122 cubemap, importance=1, size=(26.28, 5.28, 11.88), pos=(88.20, -2.55, 189.00)
sector reflection probe 150: enabled=True, mode=Custom, texture=sector reflection probe 150 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(91.80, 6.75, 59.40)
sector reflection probe 94: enabled=True, mode=Custom, texture=sector reflection probe 94 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(199.80, -2.55, 70.20)
sector reflection probe 02: enabled=True, mode=Custom, texture=sector reflection probe 02 cubemap, importance=1, size=(11.88, 5.28, 33.48), pos=(124.20, 2.10, 30.60)
sector reflection probe 62: enabled=True, mode=Custom, texture=sector reflection probe 62 cubemap, importance=1, size=(15.48, 5.28, 8.28), pos=(28.80, 2.10, 194.40)
sector reflection probe 84: enabled=True, mode=Custom, texture=sector reflection probe 84 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(23.40, -2.55, 135.00)
sector reflection probe 28: enabled=True, mode=Custom, texture=sector reflection probe 28 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(210.60, 2.10, 70.20)
sector reflection probe 169: enabled=True, mode=Custom, texture=sector reflection probe 169 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(208.80, 6.75, 109.80)
sector reflection probe 78: enabled=True, mode=Custom, texture=sector reflection probe 78 cubemap, importance=1, size=(58.68, 5.28, 11.88), pos=(32.40, -2.55, 59.40)
sector reflection probe 87: enabled=True, mode=Custom, texture=sector reflection probe 87 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(91.80, -2.55, 59.40)
sector reflection probe 54: enabled=True, mode=Custom, texture=sector reflection probe 54 cubemap, importance=1, size=(8.28, 5.28, 15.48), pos=(104.40, 2.10, 144.00)
sector reflection probe 33: enabled=True, mode=Custom, texture=sector reflection probe 33 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(214.20, 2.10, 70.20)
sector reflection probe 70: enabled=True, mode=Custom, texture=sector reflection probe 70 cubemap, importance=1, size=(15.48, 5.28, 15.48), pos=(140.40, -2.55, 39.60)
sector reflection probe 40: enabled=True, mode=Custom, texture=sector reflection probe 40 cubemap, importance=1, size=(4.68, 5.28, 37.08), pos=(203.40, 2.10, 108.00)
sector reflection probe 90: enabled=True, mode=Custom, texture=sector reflection probe 90 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(203.40, -2.55, 70.20)
sector reflection probe 77: enabled=True, mode=Custom, texture=sector reflection probe 77 cubemap, importance=1, size=(11.88, 5.28, 40.68), pos=(124.20, -2.55, 70.20)
sector reflection probe 148: enabled=True, mode=Custom, texture=sector reflection probe 148 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(16.20, 6.75, 135.00)
